ledger,successful,failed,operations,tx_set_ops,fee_pool,mem_node_mb,mem_captive_mb
3646628,8,1,10,11,400279.2073016,?,?
3646629,7,2,9,15,400279.2198425,?,?
3646630,9,1,11,15,400279.2349960,?,?
3646631,7,0,9,9,400279.2439171,?,?
3646632,7,1,9,10,400279.2577436,?,?
3646633,7,2,9,14,400279.2747995,?,?
3646634,8,3,10,42,400279.2960599,?,?
3646635,11,1,13,15,400279.3167248,?,?
3646636,11,2,13,19,400279.3437867,?,?
3646637,5,1,7,9,400279.3501220,?,?
3646638,10,0,12,12,400279.3706114,?,?
3646639,9,1,11,15,400279.3825986,?,?
3646640,6,4,8,15,400279.4028121,?,?
3646641,9,2,11,13,400279.4175773,?,?
3646642,7,1,9,10,400279.4334913,?,?
3646643,8,2,8,14,400279.4507989,?,?
3646644,7,1,7,11,400279.4674716,?,?
3646645,7,2,7,10,400279.4820900,?,?
3646646,7,1,7,8,400279.4985467,?,?
3646647,8,1,8,12,400279.5100507,?,?
3646648,10,1,10,14,400279.5285683,?,?
3646649,12,1,12,14,400279.5476967,?,?
3646650,8,1,11,15,400279.5614079,?,?
3646651,9,2,12,16,400279.5760334,?,?
3646652,6,1,9,13,400279.5874411,?,?
3646653,8,3,11,16,400279.6101670,?,?
3646654,8,2,10,15,400279.6304856,?,?
3646655,4,1,6,7,400279.6406927,?,?
3646656,10,1,12,16,400279.6580707,?,?
3646657,3,0,5,5,400279.6596896,?,?
